0F-InvertedOnlyMD5,0-InvertedOnlyPids,13F-System_Size,15F-System_DateModified,16F-System_DateCreated,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4136-System_Author,4161-System_Communication_SecurityFlags,4221-System_Contact_EmailAddress,4225-System_Contact_EmailName,4226-System_Contact_FileAsName,4227-System_Contact_FirstName,4228-System_Contact_FullName,4257-System_Contact_IMAddress,4284-System_Contact_LastName,4381-System_FlagStatus,4382-System_FlagStatusText,4407-System_Importance,4408-System_ImportanceText,4410-System_IsAttachment,4411-System_IsDeleted,4413-System_IsFlagged,4414-System_IsFlaggedComplete,4415-System_IsFolder,4417-System_IsRead,4418-System_ItemAuthors,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4427-System_ItemParticipants,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4437-System_Kind,4438-System_KindText,4453-System_MIMEType,4498-System_Message_ConversationID,4499-System_Message_ConversationIndex,4501-System_Message_DateSent,4502-System_Message_Flags,4505-System_Message_HasAttachments,4507-System_Message_MessageClass,4546-System_ParsingName,4585-System_ProviderItemID,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4621-System_Sensitivity,4622-System_SensitivityText,4628-System_Shell_OmitFromView,4647-System_Subject,4659-System_Title,5-System_ItemTypeText,WorkID
1296C835BCDA399AFD6280FD9D992DA0,00121512661267126A126C126D126E126F1270127112721273127412751276127712781279127A127B127C127D127E127F128012,6656,16/03/2018 20:35:39.1950000,27/02/2018 22:00:34.2681466,mapi16://{S-1-5-21-2801897208-1878083585-4182000528-1002}/mpowers@magnetic4nsics.com($2868524a)/0/Contacts/Recipient Cache/곯가가가걸곇걚걯갯갲곪걆겴계걛곟걅곸겛겸간갂갠가,Recipient Cache,Max Powers,0,mpowers@magnetic4nsics.com,Max Powers,,Max,Max Powers,sip:mpowers@magnetic4nsics.com,Powers,0,Not flagged,3,Normal,False,False,False,False,False,True,Max Powers,16/03/2018 20:35:39.1950001,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache,Contacts/Recipient Cache (mpowers@magnetic4nsics.com),Max Powers,Max Powers,Max Powers,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache/Max Powers,Max Powers (/mpowers@magnetic4nsics.com/Contacts/Recipient Cache),MAPI/IPM.Contact,contact communication,Contact,MAPI/IPM.Contact,7FA6262831832948B35ECE381B69E982,1F0000001700000001AC00AC00AC00AC00AC00AC7FACA6AC26AC28AC31AC83AC29AC48ACB3AC5EACCEAC38AC1BAC69ACE9AC82AC0000,27/02/2018 22:00:34.7525282,9,False,MAPI/IPM.Contact,Max Powers,N0002097668,4194345,0,16/03/2018 20:36:10.4455038,0,015625,mapi16,0,Normal,true,Max Powers,Max Powers,Outlook Contact,2139
B44EAF9F501CEB7DD5567FB9B03E2A4B,00121512661267126A126C126D126E126F127012711272127312741275127612771279127A127B127C127D127E127F128012,3668,16/03/2018 20:35:39.1640000,12/03/2018 20:12:21.4807596,mapi16://{S-1-5-21-2801897208-1878083585-4182000528-1002}/mpowers@magnetic4nsics.com($2868524a)/0/Contacts/Recipient Cache/곯가가가걸곇걚걯갯갲곪걆겴계걛곟걅곸겛겸겤갧갠가,Recipient Cache,Max Powers,0,tmcclure@magnetic4nsics.com,Troy McClure,McClure, Troy,Troy,Troy McClure,sip:tmcclure@magnetic4nsics.com,McClure,0,Not flagged,3,Normal,False,False,False,False,False,True,Max Powers,16/03/2018 20:35:39.1640001,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache,Contacts/Recipient Cache (mpowers@magnetic4nsics.com),Troy McClure,Troy McClure,Troy McClure,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache/Troy McClure,Troy McClure (/mpowers@magnetic4nsics.com/Contacts/Recipient Cache),MAPI/IPM.Contact,contact communication,Contact,MAPI/IPM.Contact,D59A39FB076C15498EF666AFF035A822,1F0000001700000001AC00AC00AC00AC00AC00ACD5AC9AAC39ACFBAC07AC6CAC15AC49AC8EACF6AC66ACAFACF0AC35ACA8AC22AC0000,12/03/2018 20:12:21.6213868,9,False,MAPI/IPM.Contact,Troy McClure,N0002107300,4194345,0,16/03/2018 20:35:57.3519844,0,015625,mapi16,0,Normal,true,Troy McClure,Troy McClure,Outlook Contact,2296
4B1DE99AB2F8B49D9336216F39D13991,00121512661267126A126C126D126F1270127112721273127412751276127712781279127A127B127D127E127F128012,4158,16/03/2018 20:35:39.0700000,14/03/2018 00:53:56.1250594,mapi16://{S-1-5-21-2801897208-1878083585-4182000528-1002}/mpowers@magnetic4nsics.com($2868524a)/0/Contacts/Recipient Cache/곯가가가걸곇걚걯갯갲곪걆겴계걛곟걅곸겛겸갤갰갠가,Recipient Cache,Max Powers,0,marketing@accessdata.com,FTK Imager Download,,,FTK Imager Download,,,0,Not flagged,3,Normal,False,False,False,False,False,True,Max Powers,16/03/2018 20:35:39.0700001,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache,Contacts/Recipient Cache (mpowers@magnetic4nsics.com),[No subject],[No subject],FTK Imager Download,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache/, (/mpowers@magnetic4nsics.com/Contacts/Recipient Cache),MAPI/IPM.Contact,contact communication,Contact,MAPI/IPM.Contact,C15478B42C619A4A80BFF942C8936D26,1F0000001700000001AC00AC00AC00AC00AC00ACC1AC54AC78ACB4AC2CAC61AC9AAC4AAC80ACBFACF9AC42ACC8AC93AC6DAC26AC0000,14/03/2018 00:53:56.2188099,9,False,MAPI/IPM.Contact,[No subject],N0002109476,4194345,0,16/03/2018 20:35:46.7892883,0,015625,mapi16,0,Normal,true,,[No subject],Outlook Contact,2316
39E70449DCE730F797D9F3AE08C6800D,00121512661267126A126C126D126F1270127112721273127412751276127712781279127A127B127D127E127F128012,4322,16/03/2018 20:35:39.0860000,14/03/2018 00:53:55.8281817,mapi16://{S-1-5-21-2801897208-1878083585-4182000528-1002}/mpowers@magnetic4nsics.com($2868524a)/0/Contacts/Recipient Cache/곯가가가걸곇걚걯갯갲곪걆겴계걛곟걅곸겛겸걄갰갠가,Recipient Cache,Max Powers,0,noreply+feedproxy@google.com,FeedBurner Email Subscriptions,,,FeedBurner Email Subscriptions,,,0,Not flagged,3,Normal,False,False,False,False,False,True,Max Powers,16/03/2018 20:35:39.0860001,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache,Contacts/Recipient Cache (mpowers@magnetic4nsics.com),[No subject],[No subject],FeedBurner Email Subscriptions,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache/, (/mpowers@magnetic4nsics.com/Contacts/Recipient Cache),MAPI/IPM.Contact,contact communication,Contact,MAPI/IPM.Contact,1A3551D5CE136B4E81A97B319D65104D,1F0000001700000001AC00AC00AC00AC00AC00AC1AAC35AC51ACD5ACCEAC13AC6BAC4EAC81ACA9AC7BAC31AC9DAC65AC10AC4DAC0000,14/03/2018 00:53:55.9063086,9,False,MAPI/IPM.Contact,[No subject],N0002109508,4194345,0,16/03/2018 20:35:46.7743305,0,015625,mapi16,0,Normal,true,,[No subject],Outlook Contact,2317
DD337625BCC227F930178A72465335B0,00121512661267126A126C126D126F1270127112721273127412751276127712781279127A127B127D127E127F128012,3954,16/03/2018 20:35:39.0860000,14/03/2018 00:53:55.7500561,mapi16://{S-1-5-21-2801897208-1878083585-4182000528-1002}/mpowers@magnetic4nsics.com($2868524a)/0/Contacts/Recipient Cache/곯가가가걸곇걚걯갯갲곪걆겴계걛곟걅곸겛겸걤갰갠가,Recipient Cache,Max Powers,0,noreply@github.com,GitHub,,,GitHub,,,0,Not flagged,3,Normal,False,False,False,False,False,True,Max Powers,16/03/2018 20:35:39.0860001,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache,Contacts/Recipient Cache (mpowers@magnetic4nsics.com),[No subject],[No subject],GitHub,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache/, (/mpowers@magnetic4nsics.com/Contacts/Recipient Cache),MAPI/IPM.Contact,contact communication,Contact,MAPI/IPM.Contact,8F74A15597AB3A47A8EACF45DD27CC08,1F0000001700000001AC00AC00AC00AC00AC00AC8FAC74ACA1AC55AC97ACABAC3AAC47ACA8ACEAACCFAC45ACDDAC27ACCCAC08AC0000,14/03/2018 00:53:55.7969325,9,False,MAPI/IPM.Contact,[No subject],N0002109540,4194345,0,16/03/2018 20:35:46.7580064,0,015625,mapi16,0,Normal,true,,[No subject],Outlook Contact,2318
FACD0742F92F56CEBB685F2BD62C60F0,00121512661267126A126C126D126E126F1270127112721273127412751276127712781279127A127B127C127D127E127F128012,3530,27/03/2018 14:48:09.9790000,14/03/2018 00:53:55.2813026,mapi16://{S-1-5-21-2801897208-1878083585-4182000528-1002}/mpowers@magnetic4nsics.com($2868524a)/0/Contacts/Recipient Cache/곯가가가걸곇걚걯갯갲곪걆겴계걛곟걅곸겛겸겄갰갠가,Recipient Cache,Max Powers,0,lhutz@magnetic4nsics.com,Lionel Hutz,,Lionel,Lionel Hutz,sip:lhutz@magnetic4nsics.com,Hutz,0,Not flagged,3,Normal,False,False,False,False,False,True,Max Powers,27/03/2018 14:48:09.9790001,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache,Contacts/Recipient Cache (mpowers@magnetic4nsics.com),Lionel Hutz,Lionel Hutz,Lionel Hutz,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache/Lionel Hutz,Lionel Hutz (/mpowers@magnetic4nsics.com/Contacts/Recipient Cache),MAPI/IPM.Contact,contact communication,Contact,MAPI/IPM.Contact,1B89798A61769642BFFD26B1FB71FF6B,1F0000001700000001AC00AC00AC00AC00AC00AC1BAC89AC79AC8AAC61AC76AC96AC42ACBFACFDAC26ACB1ACFBAC71ACFFAC6BAC0000,14/03/2018 00:53:55.3906787,9,False,MAPI/IPM.Contact,Lionel Hutz,N0002109572,4194345,0,27/03/2018 14:48:19.3548922,0,03125,mapi16,0,Normal,true,Lionel Hutz,Lionel Hutz,Outlook Contact,2319
7B6D67ED39F600027AA646F736D278B8,00121512661267126A126C126D126F1270127112721273127412751276127712781279127A127B127D127E127F128012,4218,27/03/2018 14:38:26.4790000,21/03/2018 01:52:49.7740001,mapi16://{S-1-5-21-2801897208-1878083585-4182000528-1002}/mpowers@magnetic4nsics.com($2868524a)/0/Contacts/Recipient Cache/곯가가가걸곇걚걯갯갲곪걆겴계걛곟걅곸겛겸갤갵갠가,Recipient Cache,Max Powers,0,o365@microsoft.com,Microsoft Office 365 Support,,,Microsoft Office 365 Support,,,0,Not flagged,3,Normal,False,False,False,False,False,True,Max Powers,27/03/2018 14:38:26.4790001,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache,Contacts/Recipient Cache (mpowers@magnetic4nsics.com),[No subject],[No subject],Microsoft Office 365 Support,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache/, (/mpowers@magnetic4nsics.com/Contacts/Recipient Cache),MAPI/IPM.Contact,contact communication,Contact,MAPI/IPM.Contact,18776AD196AFC746A45FA570758B9FAB,1F0000001700000001AC00AC00AC00AC00AC00AC18AC77AC6AACD1AC96ACAFACC7AC46ACA4AC5FACA5AC70AC75AC8BAC9FACABAC0000,21/03/2018 01:52:49.9458763,9,False,MAPI/IPM.Contact,[No subject],N0002110756,4194345,0,27/03/2018 14:38:29.9640593,0,mapi16,0,Normal,true,,[No subject],Outlook Contact,2407
14AB24520DCDD589B279AA9F4B6E9CC6,00121512661267126A126C126D126F1270127112721273127412751276127712781279127A127B127D127E127F128012,4254,27/03/2018 14:38:26.4950000,21/03/2018 01:52:48.6490006,mapi16://{S-1-5-21-2801897208-1878083585-4182000528-1002}/mpowers@magnetic4nsics.com($2868524a)/0/Contacts/Recipient Cache/곯가가가걸곇걚걯갯갲곪걆겴계걛곟걅곸겛겸걄갵갠가,Recipient Cache,Max Powers,0,o365mc@email2.microsoft.com,Office 365 Message Center,,,Office 365 Message Center,,,0,Not flagged,3,Normal,False,False,False,False,False,True,Max Powers,27/03/2018 14:38:26.4950001,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache,Contacts/Recipient Cache (mpowers@magnetic4nsics.com),[No subject],[No subject],Office 365 Message Center,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache/, (/mpowers@magnetic4nsics.com/Contacts/Recipient Cache),MAPI/IPM.Contact,contact communication,Contact,MAPI/IPM.Contact,7E7FC66FF5758B48BE6887BB083EAB32,1F0000001700000001AC00AC00AC00AC00AC00AC7EAC7FACC6AC6FACF5AC75AC8BAC48ACBEAC68AC87ACBBAC08AC3EACABAC32AC0000,21/03/2018 01:52:48.9458753,9,False,MAPI/IPM.Contact,[No subject],N0002110788,4194345,0,27/03/2018 14:38:29.9484478,0,078125,mapi16,0,Normal,true,,[No subject],Outlook Contact,2408
5D88CFEDFFB4CA5BDE5500757BC04274,00121512661267126A126C126D126F1270127112721273127412751276127712781279127A127B127D127E127F128012,4178,28/03/2018 15:09:36.9290000,28/03/2018 03:28:36.2470896,mapi16://{S-1-5-21-2801897208-1878083585-4182000528-1002}/mpowers@magnetic4nsics.com($2868524a)/0/Contacts/Recipient Cache/곯가가가걸곇걚걯갯갲곪걆겴계걛곟걅곸겛겸간갼갠가,Recipient Cache,Max Powers,0,mseyer@g-cpartners.com,mseyer@g-cpartners.com,,,mseyer@g-cpartners.com,,,0,Not flagged,3,Normal,False,False,False,False,False,True,Max Powers,28/03/2018 15:09:36.9290001,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache,Contacts/Recipient Cache (mpowers@magnetic4nsics.com),[No subject],[No subject],mseyer@g-cpartners.com,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache/, (/mpowers@magnetic4nsics.com/Contacts/Recipient Cache),MAPI/IPM.Contact,contact communication,Contact,MAPI/IPM.Contact,8B92A0FA8B1C564BBF76DD16512F3280,1F0000001700000001AC00AC00AC00AC00AC00AC8BAC92ACA0ACFAAC8BAC1CAC56AC4BACBFAC76ACDDAC16AC51AC2FAC32AC80AC0000,28/03/2018 03:28:36.4345932,9,False,MAPI/IPM.Contact,[No subject],N0002112516,4194345,0,28/03/2018 15:09:55.7580353,0,03125,mapi16,0,Normal,true,,[No subject],Outlook Contact,2411
DEE6E8A2D4E7AF7CC92365CA87741AEA,00121512661267126A126C126D126F1270127112721273127412751276127712781279127A127B127D127E127F128012,4466,28/03/2018 15:09:36.9290000,28/03/2018 03:28:35.1064486,mapi16://{S-1-5-21-2801897208-1878083585-4182000528-1002}/mpowers@magnetic4nsics.com($2868524a)/0/Contacts/Recipient Cache/곯가가가걸곇걚걯갯갲곪걆겴계걛곟걅곸겛겸갤갼갠가,Recipient Cache,Max Powers,0,msonlineservicesteam@email.microsoftonline.com,Microsoft Online Services Team,,,Microsoft Online Services Team,,,0,Not flagged,3,Normal,False,False,False,False,False,True,Max Powers,28/03/2018 15:09:36.9290001,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache,Contacts/Recipient Cache (mpowers@magnetic4nsics.com),[No subject],[No subject],Microsoft Online Services Team,/mpowers@magnetic4nsics.com/Contacts/Recipient Cache/, (/mpowers@magnetic4nsics.com/Contacts/Recipient Cache),MAPI/IPM.Contact,contact communication,Contact,MAPI/IPM.Contact,84FFF4153420C8478A110478CBD59A48,1F0000001700000001AC00AC00AC00AC00AC00AC84ACFFACF4AC15AC34AC20ACC8AC47AC8AAC11AC04AC78ACCBACD5AC9AAC48AC0000,28/03/2018 03:28:35.3720777,9,False,MAPI/IPM.Contact,[No subject],N0002112548,4194345,0,28/03/2018 15:09:54.8204477,0,0625,mapi16,0,Normal,true,,[No subject],Outlook Contact,2412
